Time (ns) ,Number of positrons
337267,22198
337416,23786
337565,25758
337714,28026
337863,30211
338013,32793
338162,35118
338311,37194
338460,38795
338609,40131
338759,40820
338908,41440
339057,41320
339206,40755
339355,39650
339505,37819
339654,36398
339803,34129
339952,31707
340101,29258
340251,26355
340400,24403
340549,22359
340698,20670
340847,19527
340997,18431
341146,18221
341295,18588
341444,19063
341593,20208
341743,21782
341892,23602
342041,25678
342190,27906
342339,29952
342489,32262
342638,34447
342787,35809
342936,37544
343085,37906
343235,38808
343384,38826
343533,38383
343682,37236
343831,36293
343981,34252
344130,32368
344279,29980
344428,27863
344577,25168
344727,23155
344876,21635
345025,19876
345174,18362
345323,17561
345473,16882
345622,17339
345771,17625
345920,18579
346069,19833
346219,21415
346368,23407
346517,25539
346666,27700
346815,29684
346965,31421
347114,33202
347263,34530
347412,35695
347561,35815
347711,36233
347860,35511
348009,35289
348158,33564
348307,32208
348457,30561
348606,28716
348755,26605
348904,24400
349053,22543
349203,20616
349352,18973
349501,17527
349650,16548
349799,16055
349949,16223
350098,16380
350247,17129
350396,18383
350545,19843
350695,21396
350844,23747
350993,24944
351142,27172
351291,28779
351441,30597
351590,32160
351739,32737
351888,33622
352037,34040
352187,33511
352336,32963
352485,31979
352634,30645
352783,29308
352933,27378
353082,25017
353231,23200
353380,20961
353529,19569
353679,17941
353828,16405
353977,15736
354126,14935
354275,14889
354425,15302
354574,15751
354723,16857
354872,18088
355021,19334
355171,21260
355320,22876
355469,25015
355618,26746
355767,28038
355917,29610
356066,30524
356215,31611
356364,31862
356513,31787
356663,31345
356812,30158
356961,28940
357110,27879
357259,25908
357409,24065
357558,22401
357707,20477
357856,18671
358005,17031
358155,15851
358304,14841
358453,14204
358602,13866
358751,14184
358901,14543
359050,15386
359199,16582
359348,17682
359497,19496
359647,21165
359796,22935
359945,24361
360094,26189
360243,27360
360393,28409
360542,29204
360691,29587
360840,29589
360989,29081
361139,28566
361288,27740
361437,26303
361586,24725
361735,23080
361885,21445
362034,19548
362183,17902
362332,16427
362481,15200
362631,14127
362780,13588
362929,12995
363078,13073
363227,13574
363377,14078
363526,15155
363675,16209
363824,17533
363973,19388
364123,20916
364272,22802
364421,24059
364570,25253
364719,26320
364869,26803
365018,27310
365167,27430
365316,27307
365465,26707
365615,25856
365764,24792
365913,23668
366062,22048
366211,20279
366361,18954
366510,17320
366659,15675
366808,14481
366957,13449
367107,12666
367256,12168
367405,12216
367554,12283
367703,12962
367853,13880
368002,15033
368151,16164
368300,17848
368449,19168
368599,20723
368748,22255
368897,23331
369046,24459
369195,25333
369345,25624
369494,25886
369643,25796
369792,25262
369941,24630
370091,23512
370240,22125
370389,21016
370538,19578
370687,17845
370837,16121
370986,15081
371135,13874
371284,12741
371433,11780
371583,11447
371732,11200
371881,11437
372030,11874
372179,12655
372329,13685
372478,14870
372627,16032
372776,17405
372925,18968
373075,20175
373224,21412
373373,22413
373522,23428
373671,23930
373821,24013
373970,24002
374119,23904
374268,23146
374417,22322
374567,21090
374716,19856
374865,18457
375014,16930
375163,15436
375313,14332
375462,13211
375611,11991
375760,11461
375909,10777
376059,10467
376208,10650
376357,11141
376506,11892
376655,12444
376805,13495
376954,14768
377103,16341
377252,17315
377401,18454
377551,19907
377700,20662
377849,21626
377998,22023
378147,22842
378297,22442
378446,22509
378595,21631
378744,20956
378893,20059
379043,18709
379192,17640
379341,16160
379490,14854
379639,13494
379789,12426
379938,11511
380087,10724
380236,10283
380385,9761
380535,10089
380684,10313
380833,10691
380982,11474
381131,12435
381281,13481
381430,14848
381579,15862
381728,17082
381877,18463
382027,19238
382176,20247
382325,20605
382474,20777
382623,21201
382773,20744
382922,20351
383071,19982
383220,18940
383369,17665
383519,16815
383668,15601
383817,14222
383966,12925
384115,12009
384265,10919
384414,10174
384563,9621
384712,9423
384861,9189
385011,9424
385160,9860
385309,10612
385458,11383
385607,12512
385757,13441
385906,14601
386055,15679
386204,16686
386353,17705
386503,18552
386652,19520
386801,19571
386950,19820
387099,19718
387249,19212
387398,18727
387547,17830
387696,16940
387845,15996
387995,14883
388144,13732
388293,12798
388442,11317
388591,10382
388741,9690
388890,9001
389039,8633
389188,8653
389337,8801
389487,9199
389636,9615
389785,10469
389934,11335
390083,12451
390233,13483
390382,14491
390531,15602
390680,16373
390829,17252
390979,17825
391128,18023
391277,18214
391426,18262
391575,18025
391725,17768
391874,16797
392023,16047
392172,15009
392321,14137
392471,12953
392620,11962
392769,10996
392918,9886
393067,9324
393217,8681
393366,8240
393515,8252
393664,8274
393813,8463
393963,8616
394112,9629
394261,10268
394410,11295
394559,12254
394709,13196
394858,14193
395007,15284
395156,15802
395305,16544
395455,16775
395604,17177
395753,17011
395902,17067
396051,16396
396201,16112
396350,15328
396499,14600
396648,13424
396797,12389
396947,11408
397096,10471
397245,9541
397394,8702
397543,8240
397693,7641
397842,7421
397991,7636
398140,7751
398289,8125
398439,8844
398588,9639
398737,10285
398886,11333
399035,12416
399185,13044
399334,14040
399483,14724
399632,15160
399781,15792
399931,15861
400080,16135
400229,16076
400378,15631
400527,14996
400677,14334
400826,13604
400975,12981
401124,12076
401273,10997
401423,10203
401572,9073
401721,8569
401870,7815
402019,7355
402169,7241
402318,7185
402467,7260
402616,7411
402765,8095
402915,8619
403064,9526
403213,10238
403362,11146
403511,11911
403661,12727
403810,13386
403959,14093
404108,14593
404257,15011
404407,14773
404556,15022
404705,14478
404854,14183
405003,13674
405153,12920
405302,12111
405451,11429
405600,10548
405749,9631
405899,9030
406048,7941
406197,7426
406346,6924
406495,6912
406645,6603
406794,6669
406943,7076
407092,7425
407241,8034
407391,8694
407540,9425
407689,10333
407838,11009
407987,11825
408137,12430
408286,13150
408435,13501
408584,13964
408733,14123
408883,13964
409032,13817
409181,13402
409330,12994
409479,12386
409629,11556
409778,10813
409927,9992
410076,9186
410225,8218
410375,7805
410524,7187
410673,6708
410822,6316
410971,6133
411121,6179
411270,6389
411419,6806
411568,7234
411717,7881
411867,8628
412016,9347
412165,10143
412314,10820
412463,11544
412613,12039
412762,12844
412911,12808
413060,13088
413209,13135
413359,12840
413508,12562
413657,12366
413806,11622
413955,10939
414105,10344
414254,9428
414403,8759
414552,7895
414701,7406
414851,6688
415000,6238
415149,5888
415298,5939
415447,5848
415597,5955
415746,6290
415895,6734
416044,7411
416193,7712
416343,8386
416492,9157
416641,9854
416790,10433
416939,11298
417089,11570
417238,11906
417387,12466
417536,12315
417685,12082
417835,11787
417984,11533
418133,11077
418282,10604
418431,9668
418581,9201
418730,8409
418879,7677
419028,6947
419177,6283
419327,6090
419476,5745
419625,5575
419774,5544
419923,5488
420073,5570
420222,6090
420371,6620
420520,7286
420669,7766
420819,8482
420968,9247
421117,9637
421266,10305
421415,10925
421565,10998
421714,11303
421863,11459
422012,11334
422161,11238
422311,10867
422460,10454
422609,9999
422758,9322
422907,8617
423057,7917
423206,7357
423355,6901
423504,6292
423653,5608
423803,5400
423952,5028
424101,5021
424250,5121
424399,5223
424549,5614
424698,5971
424847,6575
424996,7083
425145,7758
425295,8320
425444,8958
425593,9407
425742,10079
425891,10379
426041,10579
426190,10699
426339,10852
426488,10596
426637,10321
426787,10052
426936,9475
427085,8682
427234,8302
427383,7484
427533,6867
427682,6426
427831,5887
427980,5486
428129,5083
428279,4760
428428,4673
428577,4766
428726,4916
428875,5131
429025,5600
429174,5992
429323,6604
429472,7004
429621,7762
429771,8256
429920,8601
430069,9085
430218,9586
430367,9864
430517,10044
430666,10206
430815,10037
430964,9676
431113,9138
431263,9040
431412,8359
431561,7864
431710,7189
431859,6556
432009,6063
432158,5538
432307,5155
432456,4783
432605,4575
432755,4447
432904,4383
433053,4431
433202,4736
433351,5119
433501,5517
433650,6026
433799,6513
433948,7074
434097,7584
434247,8100
434396,8633
434545,8994
434694,9180
434843,9210
434993,9197
435142,9273
435291,9247
435440,8832
435589,8407
435739,8090
435888,7600
436037,6957
436186,6382
436335,5747
436485,5372
436634,4987
436783,4568
436932,4275
437081,4174
437231,4149
437380,4202
437529,4436
437678,4700
437827,4920
437977,5371
438126,5887
438275,6402
438424,7093
438573,7446
438723,7888
438872,8163
439021,8478
439170,8521
439319,8845
439469,8671
439618,8684
439767,8326
439916,7930
440065,7473
440215,6910
440364,6732
440513,6044
440662,5438
440811,5062
440961,4749
441110,4410
441259,4055
441408,3874
441557,3724
441707,3897
441856,4002
442005,4375
442154,4680
442303,4973
442453,5462
442602,5832
442751,6230
442900,6782
443049,7200
443199,7653
443348,7858
443497,7898
443646,8150
443795,8092
443945,7988
444094,7885
444243,7708
444392,7254
444541,6760
444691,6238
444840,5890
444989,5384
445138,4751
445287,4559
445437,4099
445586,3985
445735,3654
445884,3721
446033,3697
446183,3798
446332,3955
446481,4251
446630,4646
446779,4985
446929,5336
447078,5857
447227,6414
447376,6709
447525,7014
447675,7255
447824,7413
447973,7626
448122,7574
448271,7659
448421,7269
448570,7100
448719,6790
448868,6438
449017,6120
449167,5487
449316,5104
449465,4695
449614,4210
449763,3884
449913,3660
450062,3497
450211,3345
450360,3355
450509,3373
450659,3586
450808,3974
450957,4250
451106,4447
451255,4984
451405,5421
451554,5718
451703,6135
451852,6435
452001,6673
452151,6883
452300,7105
452449,7215
452598,7048
452747,7001
452897,6628
453046,6526
453195,6015
453344,5603
453493,5280
453643,4930
453792,4420
453941,4124
454090,3728
454239,3467
454389,3380
454538,3151
454687,3140
454836,3195
454985,3332
455135,3458
455284,3871
455433,4065
455582,4542
455731,4882
455881,5234
456030,5578
456179,6043
456328,6122
456477,6287
456627,6691
456776,6790
456925,6789
457074,6476
457223,6367
457373,6056
457522,5870
457671,5249
457820,5164
457969,4604
458119,4322
458268,3865
458417,3589
458566,3344
458715,3049
458865,2959
459014,2842
459163,3007
459312,3039
459461,3281
459611,3495
459760,3799
459909,4164
460058,4473
460207,4820
460357,5160
460506,5400
460655,5848
460804,5994
460953,5979
461103,6337
461252,6353
461401,6209
461550,5950
461699,5800
461849,5406
461998,5286
462147,4703
462296,4498
462445,4039
462595,3723
462744,3269
462893,3202
463042,2973
463191,2814
463341,2774
463490,2709
463639,2810
463788,3031
463937,3316
464087,3515
464236,3697
464385,4139
464534,4436
464683,4765
464833,5126
464982,5217
465131,5598
465280,5563
465429,5822
465579,5803
465728,5903
465877,5530
466026,5492
466175,5097
466325,4872
466474,4599
466623,4351
466772,3912
466921,3615
467071,3260
467220,2972
467369,2847
467518,2601
467667,2505
467817,2599
467966,2582
468115,2809
468264,2924
468413,3188
468563,3514
468712,3825
468861,3894
469010,4382
469159,4652
469309,4981
469458,5096
469607,5385
469756,5438
469905,5305
470055,5427
470204,5356
470353,5248
470502,4907
470651,4595
470801,4446
470950,3961
471099,3684
471248,3377
471397,3121
471547,2902
471696,2712
471845,2580
471994,2418
472143,2348
472293,2489
472442,2536
472591,2752
472740,2915
472889,3263
473039,3432
473188,3659
473337,4093
473486,4320
473635,4595
473785,4780
473934,5041
474083,5056
474232,5048
474381,5040
474531,5000
474680,4834
474829,4693
474978,4441
475127,4084
475277,3851
475426,3530
475575,3336
475724,3035
475873,2787
476023,2429
476172,2420
476321,2202
476470,2232
476619,2281
476769,2415
476918,2546
477067,2631
477216,2909
477365,3156
477515,3516
477664,3654
477813,4008
477962,4170
478111,4431
478261,4571
478410,4742
478559,4654
478708,4762
478857,4688
479007,4542
479156,4385
479305,4144
479454,3919
479603,3642
479753,3410
479902,3105
480051,2758
480200,2679
480349,2436
480499,2246
480648,2207
480797,2166
480946,2104
481095,2064
481245,2276
481394,2432
481543,2690
481692,2881
481841,3150
481991,3423
482140,3677
482289,3871
482438,3987
482587,4216
482737,4348
482886,4416
483035,4438
483184,4421
483333,4307
483483,4041
483632,4010
483781,3814
483930,3493
484079,3172
484229,2941
484378,2737
484527,2404
484676,2255
484825,2125
484975,1985
485124,1951
485273,1954
485422,1976
485571,2113
485721,2289
485870,2386
486019,2689
486168,2856
486317,3138
486467,3388
486616,3621
486765,3862
486914,4001
487063,4124
487213,4154
487362,4222
487511,4085
487660,3991
487809,3884
487959,3778
488108,3539
488257,3329
488406,3159
488555,2903
488705,2644
488854,2330
489003,2165
489152,1985
489301,1897
489451,1872
489600,1794
489749,1889
489898,1958
490047,2072
490197,2235
490346,2482
490495,2602
490644,2844
490793,3072
490943,3306
491092,3398
491241,3540
491390,3702
491539,3823
491689,3938
491838,3891
491987,3795
492136,3704
492285,3559
492435,3384
492584,3095
492733,2856
492882,2714
493031,2474
493181,2330
493330,2087
493479,1921
493628,1726
493777,1705
493927,1688
494076,1667
494225,1740
494374,1839
494523,2000
494673,2176
494822,2298
494971,2562
495120,2788
495269,3030
495419,3260
495568,3307
495717,3415
495866,3575
496015,3593
496165,3639
496314,3586
496463,3365
496612,3353
496761,3279
496911,2903
497060,2779
497209,2546
497358,2407
497507,2135
497657,1975
497806,1834
497955,1676
498104,1672
498253,1590
498403,1539
498552,1621
498701,1769
498850,1837
498999,1954
499149,2150
499298,2304
499447,2549
499596,2693
499745,3110
499895,3053
500044,3296
500193,3272
500342,3472
500491,3388
500641,3266
500790,3257
500939,3189
501088,3058
501237,2827
501387,2722
501536,2537
501685,2296
501834,2158
501983,1943
502133,1718
502282,1620
502431,1524
502580,1514
502729,1449
502879,1538
503028,1588
503177,1653
503326,1790
503475,1915
503625,2163
503774,2359
503923,2542
504072,2688
504221,2834
504371,3010
504520,2968
504669,3234
504818,3229
504967,3202
505117,3108
505266,3043
505415,2865
505564,2771
505713,2581
505863,2378
506012,2143
506161,1977
506310,1832
506459,1712
506609,1575
506758,1490
506907,1390
507056,1386
507205,1440
507355,1482
507504,1520
507653,1721
507802,1851
507951,1967
508101,2103
508250,2391
508399,2475
508548,2620
508697,2783
508847,2820
508996,3019
509145,3112
509294,2985
509443,2972
509593,2823
509742,2685
509891,2594
510040,2396
510189,2201
510339,2073
510488,1920
510637,1748
510786,1591
510935,1505
511085,1463
511234,1317
511383,1283
511532,1252
511681,1354
511831,1424
511980,1573
512129,1676
512278,1750
512427,1921
512577,2123
512726,2280
512875,2441
513024,2583
513173,2739
513323,2726
513472,2763
513621,2718
513770,2718
513919,2717
514069,2611
514218,2452
514367,2272
514516,2112
514665,1952
514815,1839
514964,1648
515113,1600
515262,1428
515411,1282
515561,1241
515710,1223
515859,1210
516008,1307
516157,1332
516307,1429
516456,1495
516605,1669
516754,1739
516903,1911
517053,2223
517202,2178
517351,2359
517500,2471
517649,2484
517799,2477
517948,2638
518097,2686
518246,2554
518395,2368
518545,2309
518694,2267
518843,2018
518992,1863
519141,1770
519291,1608
519440,1458
519589,1317
519738,1299
519887,1183
520037,1113
520186,1187
520335,1147
520484,1137
520633,1226
520783,1349
520932,1479
521081,1645
521230,1830
521379,1956
521529,2022
521678,2194
521827,2251
521976,2401
522125,2431
522275,2323
522424,2306
522573,2314
522722,2251
522871,2192
523021,2023
523170,1902
523319,1783
523468,1621
523617,1413
523767,1431
523916,1279
524065,1171
524214,1088
524363,1015
524513,1063
524662,1100
524811,1166
524960,1154
525109,1222
525259,1357
525408,1544
525557,1588
525706,1722
525855,1887
526005,1947
526154,2152
526303,2202
526452,2282
526601,2282
526751,2199
526900,2203
527049,2138
527198,2117
527347,1932
527497,1830
527646,1762
527795,1553
527944,1447
528093,1349
528243,1225
528392,1128
528541,1037
528690,1062
528839,946
528989,977
529138,1096
529287,1046
529436,1210
529585,1349
529735,1415
529884,1414
530033,1600
530182,1729
530331,1900
530481,1913
530630,2063
530779,2054
530928,2043
531077,2093
531227,1991
531376,2025
531525,2014
531674,1846
531823,1765
531973,1645
532122,1529
532271,1419
532420,1248
532569,1192
532719,1087
532868,997
533017,917
533166,897
533315,888
533465,982
533614,973
533763,1049
533912,1165
534061,1376
534211,1416
534360,1479
534509,1582
534658,1679
534807,1848
534957,1850
535106,1878
535255,1949
535404,1927
535553,1949
535703,1863
535852,1843
536001,1715
536150,1680
536299,1559
536449,1442
536598,1323
536747,1204
536896,1162
537045,1018
537195,904
537344,883
537493,833
537642,846
537791,878
537941,937
538090,949
538239,1092
538388,1212
538537,1221
538687,1347
538836,1437
538985,1517
539134,1631
539283,1714
539433,1821
539582,1806
539731,1898
539880,1787
540029,1784
540179,1736
540328,1696
540477,1613
540626,1379
540775,1436
540925,1278
541074,1114
541223,1049
541372,967
541521,913
541671,814
541820,800
541969,779
542118,855
542267,836
542417,854
542566,1016
542715,1080
542864,1201
543013,1285
543163,1383
543312,1396
543461,1576
543610,1612
543759,1700
543909,1726
544058,1719
544207,1716
544356,1652
544505,1641
544655,1563
544804,1520
544953,1399
545102,1303
545251,1197
545401,1145
545550,983
545699,935
545848,861
545997,808
546147,821
546296,744
546445,713
546594,793
546743,820
546893,884
547042,1006
547191,1057
547340,1177
547489,1261
547639,1375
547788,1376
547937,1486
548086,1599
548235,1519
548385,1591
548534,1577
548683,1621
548832,1500
548981,1540
549131,1408
549280,1375
549429,1281
549578,1171
549727,1044
549877,999
550026,890
550175,818
550324,740
550473,708
550623,726
550772,735
550921,722
551070,746
551219,796
551369,890
551518,956
551667,1083
551816,1169
551965,1204
552115,1346
552264,1370
552413,1418
552562,1472
552711,1495
552861,1533
553010,1487
553159,1465
553308,1436
553457,1332
553607,1220
553756,1232
553905,1120
554054,986
554203,906
554353,865
554502,770
554651,744
554800,693
554949,610
555099,631
555248,755
555397,662
555546,774
555695,797
555845,871
555994,989
556143,1042
556292,1110
556441,1214
556591,1293
556740,1336
556889,1332
557038,1356
557187,1363
557337,1432
557486,1373
557635,1396
557784,1318
557933,1233
558083,1114
558232,1047
558381,959
558530,875
558679,855
558829,724
558978,708
559127,634
559276,602
559425,589
559575,635
559724,668
559873,645
560022,719
560171,803
560321,885
560470,963
560619,1014
560768,1109
560917,1124
561067,1241
561216,1255
561365,1238
561514,1355
561663,1262
561813,1313
561962,1247
562111,1149
562260,1132
562409,1090
562559,1076
562708,931
562857,868
563006,787
563155,722
563305,683
563454,575
563603,563
563752,577
563901,575
564051,600
564200,647
564349,667
564498,725
564647,773
564797,843
564946,961
565095,1023
565244,1071
565393,1078
565543,1161
565692,1172
565841,1206
565990,1166
566139,1224
566289,1182
566438,1198
566587,1098
566736,1007
566885,971
567035,862
567184,820
567333,706
567482,743
567631,641
567781,581
567930,548
568079,540
568228,521
568377,571
568527,588
568676,700
568825,664
568974,687
569123,785
569273,916
569422,850
569571,990
569720,1000
569869,1084
570019,1099
570168,1185
570317,1113
570466,1127
570615,1093
570765,1064
570914,1070
571063,965
571212,894
571361,888
571511,739
571660,709
571809,691
571958,639
572107,546
572257,518
572406,506
572555,502
572704,531
572853,509
573003,539
573152,594
573301,687
573450,752
573599,756
573749,864
573898,919
574047,940
574196,952
574345,1074
574495,1063
574644,1085
574793,1131
574942,1063
575091,1023
575241,946
575390,958
575539,886
575688,837
575837,764
575987,671
576136,647
576285,559
576434,527
576583,481
576733,439
576882,459
577031,448
577180,551
577329,538
577479,551
577628,612
577777,673
577926,708
578075,836
578225,797
578374,863
578523,952
578672,1027
578821,1038
578971,993
579120,942
579269,1021
579418,990
579567,904
579717,859
579866,835
580015,777
580164,729
580313,692
580463,627
580612,533
580761,490
580910,463
581059,474
581209,428
581358,432
581507,416
581656,519
581805,530
581955,528
582104,630
582253,662
582402,749
582551,759
582701,764
582850,885
582999,908
583148,909
583297,953
583447,944
583596,925
583745,891
583894,921
584043,861
584193,787
584342,726
584491,642
584640,662
584789,606
584939,476
585088,449
585237,416
585386,425
585535,376
585685,403
585834,412
585983,437
586132,481
586281,511
586431,581
586580,645
586729,616
586878,717
587027,779
587177,806
587326,851
587475,833
587624,864
587773,892
587923,882
588072,803
588221,814
588370,800
588519,750
588669,692
588818,630
588967,621
589116,508
589265,475
589415,416
589564,444
589713,398
589862,391
590011,400
590161,425
590310,389
590459,399
590608,466
590757,498
590907,574
591056,610
591205,659
591354,650
591503,742
591653,770
591802,770
591951,831
592100,853
592249,773
592399,809
592548,790
592697,789
592846,716
592995,656
593145,609
593294,535
593443,527
593592,438
593741,438
593891,416
594040,367
594189,390
594338,358
594487,345
594637,399
594786,404
594935,394
595084,454
595233,491
595383,550
595532,602
595681,680
595830,725
595979,699
596129,770
596278,764
596427,829
596576,764
596725,773
596875,729
597024,692
597173,652
597322,667
597471,530
597621,515
597770,446
597919,469
598068,414
598217,376
598367,344
598516,358
598665,327
598814,339
598963,360
599113,380
599262,406
599411,460
599560,458
599709,448
599859,559
600008,574
600157,657
600306,674
600455,647
600605,675
600754,722
600903,680
601052,682
601201,656
601351,698
601500,660
601649,574
601798,557
601947,509
602097,501
602246,427
602395,421
602544,362
602693,334
602843,309
602992,333
603141,318
603290,339
603439,336
603589,392
603738,404
603887,418
604036,483
604185,536
604335,556
604484,594
604633,594
604782,677
604931,652
605081,647
605230,667
605379,598
605528,623
605677,622
605827,600
605976,555
606125,545
606274,512
606423,406
606573,423
606722,380
606871,370
607020,293
607169,327
607319,256
607468,297
607617,304
607766,312
607915,295
608065,331
608214,381
608363,429
608512,470
608661,486
608811,512
608960,541
609109,611
609258,641
609407,572
609557,623
609706,625
609855,638
610004,622
610153,541
610303,570
610452,508
610601,454
610750,431
610899,390
611049,360
611198,323
611347,308
611496,317
611645,297
611795,274
611944,249
612093,313
612242,306
612391,304
612541,334
612690,381
612839,409
612988,465
613137,473
613287,524
613436,573
613585,540
613734,544
613883,583
614033,594
614182,559
614331,580
614480,588
614629,521
614779,488
614928,492
615077,391
615226,384
615375,342
615525,251
615674,285
615823,276
615972,272
616121,267
616271,284
616420,229
616569,305
616718,287
616867,327
617017,356
617166,372
617315,413
617464,417
617613,470
617763,522
617912,500
618061,531
618210,531
618359,565
618509,596
618658,526
618807,491
618956,481
619105,441
619255,420
619404,351
619553,337
619702,309
619851,329
620001,289
620150,273
620299,281
620448,259
620597,240
620747,254
620896,258
621045,277
621194,309
621343,330
621493,352
621642,391
621791,426
621940,433
622089,450
622239,511
622388,495
622537,479
622686,476
622835,499
622985,490
623134,493
623283,432
623432,409
623581,438
623731,367
623880,344
624029,297
624178,296
624327,264
624477,248
624626,274
624775,221
624924,237
625073,238
625223,223
625372,252
625521,289
625670,300
625819,328
625969,329
626118,371
626267,388
626416,447
626565,439
626715,452
626864,450
627013,468
627162,497
627311,493
627461,437
627610,448
627759,378
627908,391
628057,380
628207,328
628356,301
628505,275
628654,256
628803,206
628953,222
629102,207
629251,224
629400,215
629549,229
629699,239
629848,256
629997,275
630146,324
630295,327
630445,361
630594,391
630743,399
630892,442
631041,423
631191,432
631340,430
631489,451
631638,451
631787,448
631937,426
632086,410
632235,363
632384,371
632533,325
632683,301
632832,261
632981,256
633130,230
633279,232
633429,211
633578,201
633727,198
633876,207
634025,218
634175,219
634324,233
634473,254
634622,307
634771,286
634921,345
635070,375
635219,399
635368,385
635517,394
635667,379
635816,415
635965,381
636114,389
636263,412
636413,362
636562,358
636711,327
636860,275
637009,291
637159,287
637308,219
637457,203
637606,212
637755,181
637905,201
638054,196
638203,166
638352,199
638501,227
638651,202
638800,263
638949,289
639098,297
639247,336
639397,322
639546,382
639695,348
639844,382
639993,382
640143,403
640292,428
640441,421
640590,369
640739,336
640889,305
641038,318
641187,263
641336,242
641485,264
641635,207
641784,209
641933,181
642082,181
642231,169
642381,177
642530,184
642679,177
642828,196
642977,221
643127,227
643276,241
643425,256
643574,298
643723,297
643873,329
644022,321
644171,351
644320,344
644469,379
644619,341
644768,344
644917,353
645066,362
645215,350
645365,322
645514,286
645663,236
645812,253
645961,232
646111,199
646260,176
646409,160
646558,186
646707,144
646857,167
647006,158
647155,171
647304,166
647453,216
647603,225
647752,240
647901,291
648050,256
648199,274
648349,312
648498,336
648647,342
648796,345
648945,353
649095,347
649244,355
649393,309
649542,320
649691,303
649841,258
649990,258
